EstC;Ndep;Renda;TipoR;Vbem;Nparc;Vparc;Nveic;CC;Tel; Idade ;TmpTrab;Entrada;Classe
0;0;315;0;449;6;77;0;0;0;58;48;77;1
0;0;600;0;517;6;110;0;0;0;58;48;0;1
0;0;690;0;559;5;137;0;0;0;58;48;0;1
1;0;700;0;552;4;119;0;0;0;58;48;119;1
1;0;778;0;552;4;119;0;0;0;58;48;119;1
1;0;500;0;347;3;126;0;0;0;58;48;0;1
1;0;488;0;307;6;52;0;0;0;58;48;0;1
3;0;800;0;499;2;168;0;0;0;58;48;168;1
0;0;800;0;491;2;166;0;0;0;58;48;166;1
1;0;1176;0;704;6;149;0;0;0;58;48;0;1
1;0;929;0;549;6;112;0;0;0;58;48;0;1
0;0;948;0;552;4;119;0;0;0;58;48;119;1
0;0;836;0;439;12;54;0;0;0;58;48;0;1
0;0;839;0;439;6;76;0;0;0;58;48;76;1
0;0;1200;0;552;4;119;0;0;0;58;48;119;1
0;0;1100;0;440;5;109;0;0;0;58;48;0;1
2;0;1500;0;552;4;119;0;0;0;58;48;119;1
0;0;1575;0;529;6;111;0;0;0;58;48;0;1
1;0;1615;0;399;3;110;0;0;0;58;48;110;1
0;0;2500;0;595;6;123;0;0;0;58;48;0;1
1;0;1690;0;319;5;54;0;0;0;58;48;54;1
1;0;8000;0;329;3;122;0;0;0;58;48;0;1
0;0;1414;0;339;10;52;0;0;1;55;12;0;1
1;0;316;0;485;12;67;0;0;0;54;0;0;1
0;0;500;0;631;5;117;0;0;1;54;0;150;1
2;0;420;0;423;12;58;0;0;0;54;0;0;1
0;0;520;0;473;6;80;0;0;0;54;0;0;1
0;0;400;0;351;2;119;0;0;0;54;0;119;1
0;0;460;0;398;6;56;0;0;0;54;0;150;1
1;0;622;0;519;11;60;0;0;1;54;0;60;1
0;0;530;0;407;12;55;0;0;0;54;0;0;1
0;0;937;0;485;8;86;0;0;1;54;0;0;1
0;0;1374;0;690;11;80;0;0;0;54;0;80;1
3;0;1200;0;468;9;67;0;0;1;54;0;60;1
1;0;824;0;314;5;78;0;0;1;54;0;0;1
0;0;937;0;329;8;59;0;0;1;54;0;0;1
0;0;2297;0;425;2;143;0;0;0;54;0;144;1
0;0;2000;0;354;2;189;0;0;0;54;0;0;1
1;0;5000;0;503;15;63;0;0;1;54;0;0;1
0;0;4000;0;359;3;98;0;0;1;54;0;98;1
0;0;588;0;999;12;123;0;0;0;57;48;0;1
1;0;500;0;552;4;119;0;0;0;57;48;119;1
0;0;628;0;669;6;148;0;0;0;57;48;0;1
1;0;539;0;552;4;119;0;0;0;57;48;119;1
2;0;955;0;875;4;260;0;0;0;57;48;0;1
3;0;750;0;683;5;167;0;0;0;57;48;0;1
1;0;900;0;789;2;200;0;0;0;57;48;394;1
1;0;3057;0;2576;2;861;0;0;0;57;48;861;1
0;0;1264;0;959;12;118;0;0;0;57;48;0;1
0;0;500;0;368;3;137;0;0;0;57;48;0;1
0;0;800;0;552;4;119;0;0;0;57;48;119;1
1;0;614;0;383;3;148;0;0;0;57;48;0;1
0;0;1300;0;768;6;162;0;0;0;57;48;0;1
0;0;800;0;459;11;64;0;0;0;57;48;0;1
