"atividadeescolar";"atividadelazer";"atividadeoutra";"atividadegrupo";"atividadesconcluidas";"dificuldadeutilizacao";"tiposoftware";"localutilizacao";"tipoatividade";"disciplina"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Jogos";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Jogos";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Jogos";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Leitura";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Leitura";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Leitura";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Palestra";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Palestra";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Palestra";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Pesquisa";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Pesquisa";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Pesquisa";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"Educação Física"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"Artes"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"Geografia"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"História"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"História"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"História"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"Ciências"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"Matemática"
t;t;t;f;"A";"P";"Navegador Web";"Sala de Aula";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Biblioteca";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
t;t;t;f;"A";"P";"Navegador Web";"Passeio escolar";"Produção de Material (Texto, Vídeo, etc)";"Língua Portuguesa"
